split,variant,alert_budget,alerts,test_transactions,test_laundering,laundering_in_alerts,txn_recall,precision,rings_evaluable,rings_not_evaluable,precision_lo,precision_hi,ring_recall_at_least_1,ring_recall_at_least_1_lo,ring_recall_at_least_1_hi,ring_recall_at_least_2,ring_recall_at_least_2_lo,ring_recall_at_least_2_hi,ring_recall_at_least_half,ring_recall_at_least_half_lo,ring_recall_at_least_half_hi
HI-Small,graph_without_format,0.005,7616,1523171,1666,305,0.18307322929171668,0.04004726890756303,218,152,0.03571428571428571,0.044642857142857144,0.5458715596330275,0.4724770642201835,0.6146788990825688,0.26605504587155965,0.20642201834862386,0.3256880733944954,0.2798165137614679,0.22018348623853212,0.3440366972477064
HI-Small,graph_without_format,0.01,15232,1523171,1666,362,0.21728691476590636,0.023765756302521007,218,152,0.021335018382352945,0.02619485294117647,0.6192660550458715,0.5504587155963303,0.6834862385321101,0.3119266055045872,0.25229357798165136,0.3761467889908257,0.3302752293577982,0.26605504587155965,0.3944954128440367
LI-Small,txn_with_format,0.001,2077,2077316,1200,69,0.0575,0.03322099181511796,68,49,0.026480500722195474,0.04092441020702937,0.5,0.36764705882352944,0.6176470588235294,0.16176470588235295,0.07352941176470588,0.25,0.1323529411764706,0.058823529411764705,0.22058823529411764
LI-Small,txn_with_format,0.005,10387,2077316,1200,160,0.13333333333333333,0.015403870222393376,68,49,0.013189563877924328,0.01771685761047462,0.5735294117647058,0.45588235294117646,0.6911764705882353,0.3088235294117647,0.20588235294117646,0.4117647058823529,0.23529411764705882,0.1323529411764706,0.3382352941176471
LI-Small,txn_with_format,0.01,20773,2077316,1200,225,0.1875,0.010831367640687432,68,49,0.009531603523804938,0.0122274105810427,0.5882352941176471,0.47058823529411764,0.7058823529411765,0.3235294117647059,0.20588235294117646,0.4264705882352941,0.2647058823529412,0.16176470588235295,0.38235294117647056
LI-Small,txn_without_format,0.001,2077,2077316,1200,11,0.009166666666666667,0.005296100144439095,68,49,0.002407318247472316,0.008666345690900338,0.04411764705882353,0.0,0.10294117647058823,0.014705882352941176,0.0,0.04411764705882353,0.014705882352941176,0.0,0.04411764705882353
LI-Small,txn_without_format,0.005,10387,2077316,1200,51,0.0425,0.004909983633387889,68,49,0.003658419177818427,0.006257822277847309,0.3382352941176471,0.22058823529411764,0.45588235294117646,0.10294117647058823,0.029411764705882353,0.17647058823529413,0.11764705882352941,0.04411764705882353,0.20588235294117646
LI-Small,txn_without_format,0.01,20773,2077316,1200,82,0.06833333333333333,0.003947431762383864,68,49,0.0031772011746016462,0.004813941173638858,0.39705882352941174,0.27941176470588236,0.5147058823529411,0.16176470588235295,0.07352941176470588,0.25,0.14705882352941177,0.07352941176470588,0.23529411764705882
LI-Small,graph_with_format,0.001,2077,2077316,1200,80,0.06666666666666667,0.038517091959557055,68,49,0.03033220991815118,0.046701974000962924,0.3088235294117647,0.20588235294117646,0.4117647058823529,0.10294117647058823,0.04411764705882353,0.17647058823529413,0.08823529411764706,0.029411764705882353,0.16176470588235295
LI-Small,graph_with_format,0.005,10387,2077316,1200,235,0.19583333333333333,0.02262443438914027,68,49,0.019830076056609226,0.02551266005583903,0.4852941176470588,0.36764705882352944,0.6029411764705882,0.2647058823529412,0.16176470588235295,0.36764705882352944,0.17647058823529413,0.08823529411764706,0.27941176470588236
LI-Small,graph_with_format,0.01,20773,2077316,1200,277,0.23083333333333333,0.013334617050979637,68,49,0.011746016463678814,0.01492321763828046,0.5588235294117647,0.4411764705882353,0.6764705882352942,0.39705882352941174,0.27941176470588236,0.5147058823529411,0.20588235294117646,0.11764705882352941,0.3088235294117647
LI-Small,graph_without_format,0.001,2077,2077316,1200,79,0.06583333333333333,0.03803562831006259,68,49,0.03033220991815118,0.04718343765045739,0.23529411764705882,0.14669117647058888,0.3382352941176471,0.08823529411764706,0.029411764705882353,0.16176470588235295,0.07352941176470588,0.014705882352941176,0.14705882352941177
LI-Small,graph_without_format,0.005,10387,2077316,1200,180,0.15,0.01732935400019255,68,49,0.014826225089053624,0.019736208722441514,0.5735294117647058,0.45588235294117646,0.6911764705882353,0.20588235294117646,0.11764705882352941,0.3088235294117647,0.16176470588235295,0.07352941176470588,0.25
LI-Small,graph_without_format,0.01,20773,2077316,1200,248,0.20666666666666667,0.011938574110624368,68,49,0.0105425311702691,0.013430895874452415,0.6470588235294118,0.5294117647058824,0.75,0.23529411764705882,0.14705882352941177,0.3382352941176471,0.19117647058823528,0.10294117647058823,0.29411764705882354
